site_url,country_id,avail
http://dnr-hotline.ru,ca1,True
http://dnr-hotline.ru,nl1,True
http://dnr-hotline.ru,it2,True
http://dnr-hotline.ru,de4,True
http://dnr-hotline.ru,ch1,True
http://dnr-hotline.ru,au1,True
http://dnr-hotline.ru,pt1,True
http://dnr-hotline.ru,us1,True
http://dnr-hotline.ru,fr2,True
http://dnr-hotline.ru,tr1,True
http://dnr-hotline.ru,ru1,True
http://dnr-hotline.ru,kz1,True
http://dnr-hotline.ru,at1,True
http://dnr-hotline.ru,ru2,True
http://dnr-hotline.ru,ua2,True
http://dnr-hotline.ru,ir1,True
http://dnr-hotline.ru,hk1,True
http://dnr-hotline.ru,lt1,True
http://dnr-hotline.ru,us2,True
http://dnr-hotline.ru,md1,True
http://denis-pushilin.ru,it2,True
http://denis-pushilin.ru,nl1,True
http://denis-pushilin.ru,ca1,True
http://denis-pushilin.ru,ua1,True
http://denis-pushilin.ru,de4,True
http://denis-pushilin.ru,ch1,True
http://denis-pushilin.ru,au1,True
http://denis-pushilin.ru,pt1,True
http://denis-pushilin.ru,fr2,True
http://denis-pushilin.ru,tr1,True
http://denis-pushilin.ru,us1,True
http://denis-pushilin.ru,ru1,True
http://denis-pushilin.ru,at1,True
http://denis-pushilin.ru,kz1,True
http://denis-pushilin.ru,ru2,True
http://denis-pushilin.ru,ua2,True
http://denis-pushilin.ru,ir1,True
http://denis-pushilin.ru,hk1,True
http://denis-pushilin.ru,us2,True
http://denis-pushilin.ru,lt1,True
http://denis-pushilin.ru,md1,True
http://defence.council.gov.ru,au1,False
http://defence.council.gov.ru,ch1,False
http://defence.council.gov.ru,tr1,False
http://defence.council.gov.ru,fr2,False
http://defence.council.gov.ru,us1,False
http://defence.council.gov.ru,pt1,False
http://defence.council.gov.ru,de4,False
http://defence.council.gov.ru,nl1,False
http://defence.council.gov.ru,ca1,False
http://defence.council.gov.ru,it2,False
http://defence.council.gov.ru,ua1,False
http://defence.council.gov.ru,us2,False
http://defence.council.gov.ru,lt1,False
http://defence.council.gov.ru,ir1,False
http://defence.council.gov.ru,hk1,False
http://defence.council.gov.ru,md1,False
http://defence.council.gov.ru,kz1,False
http://defence.council.gov.ru,at1,False
http://defence.council.gov.ru,ru1,False
http://defence.council.gov.ru,ua2,False
http://defence.council.gov.ru,ru2,False
http://dnr-life.ru,tr1,True
http://dnr-life.ru,fr2,True
http://dnr-life.ru,us1,True
http://dnr-life.ru,pt1,True
http://dnr-life.ru,au1,True
http://dnr-life.ru,ch1,True
http://dnr-life.ru,de4,True
http://dnr-life.ru,ca1,True
http://dnr-life.ru,nl1,True
http://dnr-life.ru,it2,True
http://dnr-life.ru,ua1,True
http://dnr-life.ru,md1,True
http://dnr-life.ru,us2,True
http://dnr-life.ru,lt1,True
http://dnr-life.ru,ir1,True
http://dnr-life.ru,hk1,True
http://dnr-life.ru,ua2,True
http://dnr-life.ru,ru2,True
http://dnr-life.ru,kz1,True
http://dnr-life.ru,at1,True
http://dnr-life.ru,ru1,True
http://dnr-live.ru,au1,False
http://dnr-live.ru,ch1,True
http://dnr-live.ru,us1,False
http://dnr-live.ru,tr1,False
http://dnr-live.ru,fr2,True
http://dnr-live.ru,pt1,False
http://dnr-live.ru,de4,False
http://dnr-live.ru,ua1,False
http://dnr-live.ru,it2,True
http://dnr-live.ru,nl1,True
http://dnr-live.ru,ca1,False
http://dnr-live.ru,lt1,True
http://dnr-live.ru,us2,False
http://dnr-live.ru,hk1,False
http://dnr-live.ru,ir1,False
http://dnr-live.ru,md1,False
http://dnr-live.ru,kz1,False
http://dnr-live.ru,at1,True
http://dnr-live.ru,ru1,True
http://dnr-live.ru,ua2,True
http://dnr-live.ru,ru2,True
http://dnr-pravda.ru,de4,True
http://dnr-pravda.ru,ua1,True
http://dnr-pravda.ru,nl1,True
http://dnr-pravda.ru,ca1,True
http://dnr-pravda.ru,it2,True
http://dnr-pravda.ru,au1,True
http://dnr-pravda.ru,ch1,True
http://dnr-pravda.ru,us1,True
http://dnr-pravda.ru,tr1,True
http://dnr-pravda.ru,fr2,True
http://dnr-pravda.ru,pt1,True
http://dnr-pravda.ru,kz1,True
